,club_name,long_name,player_face_url,club_logo_url,nation_flag_url
907,Real Betis Balompié,Germán Alejandro Pezzella,https://cdn.sofifa.net/players/193/601/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/ar.png
5623,CD Leganés,Bruno González Cabrera,https://cdn.sofifa.net/players/200/228/22_120.png,https://cdn.sofifa.net/teams/100888/60.png,https://cdn.sofifa.net/flags/es.png
1004,Real Madrid CF,Daniel Ceballos Fernández,https://cdn.sofifa.net/players/222/509/22_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png
295,Sporting CP,Antonio Adán Garrido,https://cdn.sofifa.net/players/178/086/22_120.png,https://cdn.sofifa.net/teams/237/60.png,https://cdn.sofifa.net/flags/es.png
3290,Chelsea,Charly Musonda Junior,https://cdn.sofifa.net/players/204/233/22_120.png,https://cdn.sofifa.net/teams/5/60.png,https://cdn.sofifa.net/flags/be.png
3211,Unión Deportiva Almería,Francisco Portillo Soler,https://cdn.sofifa.net/players/193/844/22_120.png,https://cdn.sofifa.net/teams/1861/60.png,https://cdn.sofifa.net/flags/es.png
7545,FC Twente,Ricky van Wolfswinkel,https://cdn.sofifa.net/players/184/457/22_120.png,https://cdn.sofifa.net/teams/1908/60.png,https://cdn.sofifa.net/flags/nl.png
2175,Torino F.C.,Arnaldo Antonio Sanabria Ayala,https://cdn.sofifa.net/players/219/932/22_120.png,https://cdn.sofifa.net/teams/54/60.png,https://cdn.sofifa.net/flags/py.png
3829,Club Olimpia,Roque Luis Santa Cruz Cantero,https://cdn.sofifa.net/players/025/798/22_120.png,https://cdn.sofifa.net/teams/101108/60.png,https://cdn.sofifa.net/flags/py.png
462,Olympique de Marseille,Pau López Sabata,https://cdn.sofifa.net/players/221/087/22_120.png,https://cdn.sofifa.net/teams/219/60.png,https://cdn.sofifa.net/flags/es.png
3997,Panathinaikos FC,Juan Carlos Pérez López,https://cdn.sofifa.net/players/201/509/22_120.png,https://cdn.sofifa.net/teams/1884/60.png,https://cdn.sofifa.net/flags/es.png
3452,CD Tenerife,Matías Nahuel Leiva Esquivel,https://cdn.sofifa.net/players/221/564/22_120.png,https://cdn.sofifa.net/teams/260/60.png,https://cdn.sofifa.net/flags/es.png
3445,Real Zaragoza,Juan José Narváez Solarte,https://cdn.sofifa.net/players/220/815/22_120.png,https://cdn.sofifa.net/teams/244/60.png,https://cdn.sofifa.net/flags/co.png
5134,Gazişehir Gaziantep F.K.,Alin Dorinel Toșca,https://cdn.sofifa.net/players/233/512/22_120.png,https://cdn.sofifa.net/teams/110776/60.png,https://cdn.sofifa.net/flags/ro.png
425,Villarreal CF,Aïssa Mandi,https://cdn.sofifa.net/players/201/143/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/dz.png
2566,Real Valladolid CF,Sergio León Limones,https://cdn.sofifa.net/players/198/715/22_120.png,https://cdn.sofifa.net/teams/462/60.png,https://cdn.sofifa.net/flags/es.png
258,Napoli,Fabián Ruiz Peña,https://cdn.sofifa.net/players/226/271/22_120.png,https://cdn.sofifa.net/teams/48/60.png,https://cdn.sofifa.net/flags/es.png
3355,Lazio,Riza Durmisi,https://cdn.sofifa.net/players/211/385/22_120.png,https://cdn.sofifa.net/teams/46/60.png,https://cdn.sofifa.net/flags/dk.png
2010,AS Saint-Étienne,Ryad Boudebouz,https://cdn.sofifa.net/players/188/388/22_120.png,https://cdn.sofifa.net/teams/1819/60.png,https://cdn.sofifa.net/flags/dz.png
867,Granada CF,Jorge Molina Vidal,https://cdn.sofifa.net/players/154/472/22_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png
3285,Universidad Católica,Felipe Alejandro Gutiérrez Leiva,https://cdn.sofifa.net/players/203/796/22_120.png,https://cdn.sofifa.net/teams/110975/60.png,https://cdn.sofifa.net/flags/cl.png
3231,Stade Rennais FC,Jonas Martin,https://cdn.sofifa.net/players/197/813/22_120.png,https://cdn.sofifa.net/teams/74/60.png,https://cdn.sofifa.net/flags/fr.png
7872,Burgos CF,Alexander Alegría Moreno,https://cdn.sofifa.net/players/220/355/22_120.png,https://cdn.sofifa.net/teams/10846/60.png,https://cdn.sofifa.net/flags/es.png
469,Real Betis Balompié,Borja Iglesias Quintas,https://cdn.sofifa.net/players/224/179/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png
131,Real Betis Balompié,Nabil Fekir,https://cdn.sofifa.net/players/216/594/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/fr.png
2377,Real Betis Balompié,Aitor Ruibal García,https://cdn.sofifa.net/players/241/867/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png
1200,Real Betis Balompié,Joel Robles Blázquez,https://cdn.sofifa.net/players/195/668/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png
658,Tottenham Hotspur,Emerson Aparecido Leite de Souza Junior,https://cdn.sofifa.net/players/247/204/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/br.png
793,Real Betis Balompié,Guido Rodríguez,https://cdn.sofifa.net/players/225/659/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/ar.png
1431,RCD Espanyol de Barcelona,Lorenzo Jesús Morón García,https://cdn.sofifa.net/players/242/348/22_120.png,https://cdn.sofifa.net/teams/452/60.png,https://cdn.sofifa.net/flags/es.png
740,Real Betis Balompié,William Silva de Carvalho,https://cdn.sofifa.net/players/207/566/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/pt.png
2046,Liverpool,Adrián San Miguel del Castillo,https://cdn.sofifa.net/players/194/911/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/es.png
3301,RCD Espanyol de Barcelona,Álvaro Vadillo Cifuentes,https://cdn.sofifa.net/players/204/830/22_120.png,https://cdn.sofifa.net/teams/452/60.png,https://cdn.sofifa.net/flags/es.png
1623,CF Monterrey,Joel Nathaniel Campbell Samuels,https://cdn.sofifa.net/players/204/713/22_120.png,https://cdn.sofifa.net/teams/1032/60.png,https://cdn.sofifa.net/flags/cr.png
432,Toronto FC,Alejandro Pozuelo Melero,https://cdn.sofifa.net/players/203/895/22_120.png,https://cdn.sofifa.net/teams/111651/60.png,https://cdn.sofifa.net/flags/es.png
4662,Gallos Blancos de Querétaro,Jefferson Antonio Montero Vite,https://cdn.sofifa.net/players/186/805/22_120.png,https://cdn.sofifa.net/teams/110150/60.png,https://cdn.sofifa.net/flags/ec.png
362,Tottenham Hotspur,Giovani Lo Celso,https://cdn.sofifa.net/players/226/226/22_120.png,https://cdn.sofifa.net/teams/18/60.png,https://cdn.sofifa.net/flags/ar.png
2348,Real Betis Balompié,Diego Lainez Leyva,https://cdn.sofifa.net/players/237/995/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/mx.png
898,CA Osasuna,José Ángel Valdés Díaz,https://cdn.sofifa.net/players/190/143/22_120.png,https://cdn.sofifa.net/teams/479/60.png,https://cdn.sofifa.net/flags/es.png
400,Real Sociedad,Ignacio Monreal Eraso,https://cdn.sofifa.net/players/177/604/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
141,Los Angeles FC,Carlos Alberto Vela Garrido,https://cdn.sofifa.net/players/169/416/22_120.png,https://cdn.sofifa.net/teams/112996/60.png,https://cdn.sofifa.net/flags/mx.png
4733,Unión Deportiva Las Palmas,Raúl Rodríguez Navas,https://cdn.sofifa.net/players/198/614/22_120.png,https://cdn.sofifa.net/teams/472/60.png,https://cdn.sofifa.net/flags/es.png
1579,Real Betis Balompié,Juan Miguel Jiménez López,https://cdn.sofifa.net/players/197/891/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png
455,Villarreal CF,Gerónimo Rulli,https://cdn.sofifa.net/players/215/316/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/ar.png
3296,CD Leganés,Rubén Pardo Gutiérrez,https://cdn.sofifa.net/players/204/523/22_120.png,https://cdn.sofifa.net/teams/100888/60.png,https://cdn.sofifa.net/flags/es.png
2558,FC Augsburg,Alfreð Finnbogason,https://cdn.sofifa.net/players/195/586/22_120.png,https://cdn.sofifa.net/teams/100409/60.png,https://cdn.sofifa.net/flags/is.png
874,CF Monterrey,Héctor Alfredo Moreno Herrera,https://cdn.sofifa.net/players/173/432/22_120.png,https://cdn.sofifa.net/teams/1032/60.png,https://cdn.sofifa.net/flags/mx.png
971,Leeds United,Diego Javier Llorente Ríos,https://cdn.sofifa.net/players/212/602/22_120.png,https://cdn.sofifa.net/teams/8/60.png,https://cdn.sofifa.net/flags/es.png
618,Real Sociedad,Aritz Elustondo Irribaria,https://cdn.sofifa.net/players/226/221/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
