,x,y,player_name,team,position,foot,goals,agg_position
2445,7.794238,8.295545,Ángel Trujillo Canorea,Almería,Right Center Back,Right Foot,0.2,Center Back
2446,-1.2813351,7.932362,Julián Cuesta Díaz,Almería,Goalkeeper,Right Foot,0.0,Goalkeeper
2447,9.061264,6.6457477,Thomas Teye Partey,Atlético Madrid,Right Defensive Midfield,Right Foot,0.0,Defensive Midfield
2448,7.6812186,3.0354977,Edgar Antonio Méndez Ortega,Deportivo Alavés,Right Midfield,Right Foot,0.0,Right Wing
2449,3.6221814,3.4144924,Joaquín Navarro Jiménez,Deportivo Alavés,Left Center Back,Right Foot,0.0,Center Back
2450,9.0110855,2.4187753,Thievy Guivane Bifouma Koulossa,Almería,Center Forward,Right Foot,0.25,Striker
2451,8.279295,3.1575453,Javier Espinosa González,Almería,Center Attacking Midfield,Right Foot,0.0,Attacking Midfield
2452,5.339165,6.2930927,Federico Vico Villegas,Córdoba,Right Wing,Head,0.0,Right Wing
2453,9.186199,3.7985744,Patrick Claude Ekeng Ekeng,Córdoba,Center Attacking Midfield,Right Foot,0.0,Attacking Midfield
2454,3.93203,3.9856443,Adrián Javier Gunino Duque,Córdoba,Right Back,Right Foot,0.0,Right Back
2455,8.634699,8.581649,Íñigo López Montaña,Granada,Right Center Back,Right Foot,0.0,Center Back
2456,7.7642994,6.67994,Rene Krhin,Córdoba,Right Center Midfield,Right Foot,0.0,Center Midfield
2457,3.8256273,8.388392,Edimar Curitiba Fraga,Córdoba,Left Back,Left Foot,0.0,Left Back
2458,-1.6736251,7.846062,Juan Carlos Martín Corral,Córdoba,Goalkeeper,Right Foot,0.0,Goalkeeper
2459,6.5841327,2.4943035,Tiago Manuel Dias Correia,Rayo Vallecano,Right Wing,Right Foot,0.0,Right Wing
2460,8.753637,7.217676,David Omar Rodríguez Barrera,Córdoba,Left Defensive Midfield,Right Foot,0.0,Defensive Midfield
2461,7.813246,5.999536,Luis Eduardo Delgado Pacheco,Córdoba,Center Attacking Midfield,Right Foot,0.0,Attacking Midfield
2462,8.537867,8.720182,Aleksandar Pantić,Córdoba,Left Center Back,Right Foot,0.0,Center Back
2463,3.7148957,6.68341,Fidel Chaves de la Torre,Elche,Center Forward,Left Foot,0.0,Striker
2464,9.933774,2.289745,Florin Andone,Deportivo La Coruna,Center Forward,Right Foot,0.0,Striker
